행정구,측정지역,측정지점수,주간평균_mean,주간평균_std,야간평균_mean,야간평균_std,편차_mean,편차_std,낮>밤_비율(%),밤>낮_비율(%)
강남구,강남구 역삼동,20,61.1475,5.995617368676803,57.925,6.820528224643448,3.222500000000001,2.956181080202526,,
강동구,강동구 천호동,20,64.91,3.284477047215311,61.7475,4.420093920173859,3.1624999999999988,1.669649742657992,,
강북구,강북구 미아동,20,62.7075,6.379789738327052,57.717499999999994,8.252914556943535,4.989999999999999,3.437270566505991,,
강서구,강서구 화곡동,20,65.11,5.75799444251208,62.835,6.973693048653783,2.275,1.661997846600669,,
관악구,관악구 신림동,20,63.385000000000005,6.850126775622862,62.1,5.926190753098087,1.285000000000002,1.5141959825875284,,
금천구,금천구 독산동,20,65.78,4.861344572505797,61.64,5.939089953324854,4.139999999999998,1.4694118049857834,,
노원구,노원구 상계동,20,58.53375,8.392200620218754,50.5375,7.24374276258664,7.996250000000001,6.00518019252852,,
동작구,동작구 상도동,20,62.61375,7.93845352747591,60.057500000000005,9.501734952379126,2.5562499999999995,2.6293369561445283,,
마포구,마포구 서교동,20,62.64375,6.933437644184123,58.7525,8.803923691651413,3.8912499999999985,3.19903639891436,,
서초구,서초구 잠원동,20,60.628125,5.595175563227065,51.871875,5.593298631696089,8.756250000000001,3.588773002944971,,
송파구,송파구 방이동 올림픽공원,20,61.565,9.434599676331347,57.44500000000001,11.478502790686136,4.12,3.269160120694126,,
양천구,양천구 목동,20,54.816250000000004,9.93302663301097,51.1325,10.528985993562323,3.6837500000000007,1.697255427695581,,
영등포구,영등포구 영등포동,20,64.53875000000001,5.746420367452567,61.427499999999995,5.827215526258978,3.1112500000000005,2.372186352735649,,
종로구,종로구 연건동 서울대병원,20,60.5875,7.644965233475729,57.5625,8.652728121660154,3.024999999999998,2.0277353195907493,,
중랑구,중랑구 면목동,20,60.941250000000004,5.248723372351957,58.379999999999995,6.490689688436733,2.5612500000000002,3.3051542184737377,,
